RCDTS,Type,District,City,County,District Type,District Size,EBF Tier,EBF Capacity to Meet Expectations,Local Property Taxes 2016-17 - Dollars,Local Property Taxes 2016-17 - Percent,Other Local Funding 2016-17  - Dollars,Other Local Funding 2016-17 - Percent,General State Aid 2016-17 - Dollars,General State Aid 2016-17 - Percent,Other State Funding 2016-17  - Dollars,Other State Funding 2016-17  - Percent,Federal Funding 2016-17 - Dollars,Federal Funding 2016-17 - Percent,Total Revenue Source 2016-17,EAV per Pupil 2016-17,Total School Tax Rate per $100 2016-17,Instructional Expenditure per Pupil 2016-17,Operating Expenditures 2016-17,Instruction 2016-17 - Dollars,Instruction 2016-17 - Dollars %,General Admin 2016-17 - Dollars,General Admin 2016-17 - Dollars,Supporting Services 2016-17 - Dollars,Supporting Services 2016-17 - Dollars %,Other Expenditures 2016-17 - Dollars,Other Expenditures 2016-17 - Dollars %,Education Fund 2016-17 - Dollars,Education Fund 2016-17 - Dollars %,Operations/B/M 2016-17 -Dollars,Operations/B/M 2016-17 -Dollars %,Transportation 2016-17 - Dollars,Transportation 2016-17 - Dollars %,Debt Service 2016-17 - Dollars,Debt Service 2016-17 - Dollars %,Tort 2016-17 - Dollars,Tort 2016-17 - Dollars %,Munic. Ret. / Soc. Security 2016-17 - Dollars,Munic. Ret. / Soc. Security 2016-17 - Dollars %,Fire Prev. & Safety 2016-17 - Dollars,Fire Prev. & Safety 2016-17 - Dollars %,Capital Projects Fund 2016-17 - Dollars,Capital Projects Fund 2016-17 - Dollars %,Total Expenditures 2016-17
010010010260000,District,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,1,59.4,2531179,48.3,217259,4.1,1775730,33.9,323209,6.2,389805,7.4,5237182,91970.7,5.19,4435.7,7824.76,2310424,44.9,564111,11,1299209,25.3,969952,18.9,3225555,62.7,205413,4,294256,5.7,500536,9.7,373047,7.3,135118,2.6,409771,8,0,0,5143696
010010020260000,District,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,2,66.7,2253278,42.4,326921,6.2,1905501,35.9,465797,8.8,362160,6.8,5313657,108543.21,3.85,5939.6,9325.98,3109854,57.1,622126,11.4,1387636,25.5,323863,5.9,3907503,71.8,274657,5,634954,11.7,7400,0.1,457761,8.4,159284,2.9,1920,0,0,0,5443479
010010030260000,District,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,1,62.3,3128518,42,409408,5.5,2892183,38.8,398161,5.3,620882,8.3,7449152,99651.74,3.64,5206.03,8656.86,4297997,56.8,770369,10.2,2291618,30.3,204203,2.7,5960372,78.8,286252,3.8,499655,6.6,0,0,531065,7,261314,3.5,25529,0.3,0,0,7564187
010010040260000,District,CUSD 4,Mendon,Adams,UNIT,MEDIUM,2,68.1,3634218,51.4,337485,4.8,2318723,32.8,392755,5.6,383059,5.4,7066240,99448.11,5.59,5220.05,8804.95,3348351,52.7,671307,10.6,1687444,26.6,643569,10.1,4584398,72.2,315455,5,296760,4.7,451125,7.1,512272,8.1,189664,3,997,0,0,0,6350671
010011720220000,District,Quincy SD 172,Quincy,Adams,UNIT,LARGE,2,69.8,39430662,57.2,3475603,5,12774845,18.5,4709022,6.8,8539441,12.4,68929573,146269.81,4.04,6261.15,10546.07,36095850,39.1,2423593,2.6,23080150,25,30689462,33.3,48343392,52.4,5501837,6,3653222,4,7253288,7.9,1915438,2.1,3225417,3.5,40888,0,22355573,24.2,92289055
010050010260000,District,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,2,67.3,3683050,50.1,817039,11.1,2016272,27.4,429749,5.8,401756,5.5,7347866,126862.4,4.35,5712.02,12062.74,3659118,36.9,1036593,10.5,2846623,28.7,2372491,23.9,6180557,62.3,640639,6.5,390735,3.9,437474,4.4,910691,9.2,332933,3.4,878153,8.9,143643,1.4,9914825
010090150260000,District,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,1,52.5,3046836,21.4,932277,6.6,7615862,53.5,1119747,7.9,1512178,10.6,14226900,42190.17,5.07,5323.42,8245.85,7341583,54.2,542350,4,3670530,27.1,1996606,14.7,11347075,83.7,618619,4.6,539389,4,319961,2.4,298735,2.2,427290,3.2,0,0,0,0,13551069
010090640260000,District,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,2,70.9,2220956,62.6,354251,10,623159,17.6,151671,4.3,198631,5.6,3548668,131660.68,6.05,5271.04,11909.56,1412269,36.1,522252,13.4,1028641,26.3,943877,24.2,2138345,54.7,298042,7.6,188376,4.8,494380,12.7,369237,9.5,112099,2.9,5498,0.1,301062,7.7,3907039
010092620260000,District,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,2,69.4,3020371,57.8,363071,7,1174988,22.5,325688,6.2,337950,6.5,5222068,117972.83,6.02,4642.59,9549.93,1945802,36.7,635186,12,1451022,27.3,1273852,24,3144054,59.3,368646,6.9,516523,9.7,429578,8.1,466196,8.8,165183,3.1,209293,3.9,6389,0.1,5305862
010690010260000,District,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,3,91,2694413,69.7,381336,9.9,385220,10,234264,6.1,168598,4.4,3863831,201846.89,4.7,6923.93,13947.18,1918689,44.2,228683,5.3,1902032,43.9,286718,6.6,2879590,66.4,833060,19.2,313419,7.2,0,0,48157,1.1,139235,3.2,4558,0.1,118103,2.7,4336122
